year,WeightedWageChange,WeightedRentChange,LS,KS,Dual
1994,0.002665599350686289,0.030259523557236212,0.80119851,0.19880149000000003,0.008151312597895482
1995,0.031186087437847555,0.03609186667440151,0.8085174399999999,0.19148256000000008,0.03212545860485775
1996,0.10043147261586974,0.05749211544462665,0.8086562099999999,0.19134379000000012,0.0922152932745604
1997,0.026908984360946908,0.057057469673363836,0.7948125,0.20518749999999997,0.033095076690988455
1998,-0.05406525347594731,0.03160736344317254,0.7624517800000001,0.23754821999999987,-0.03371387582406852
1999,0.021358562561683826,0.08814727987203143,0.7450226500000001,0.2549773499999999,0.03838817271137537
2001,0.021210808353106767,0.045735704188141976,0.7489343700000001,0.25106562999999993,0.02736816677661426
2002,0.09292301481352556,0.047954464570587385,0.7528324200000001,0.24716757999999994,0.08180824707387012
2003,0.03613726518085048,0.040405366592032116,0.74217086,0.25782914,0.03723770609712823
2004,-0.03377224865530009,0.03661300623989941,0.73403779,0.26596221,-0.015052430711959516
2005,0.10096404356514316,0.054992796250785375,0.72992048,0.27007952,0.08854815115668012
2006,0.04948416782584087,0.07554173404945448,0.7434608500000001,0.25653914999999994,0.05616895371591542
2007,0.04762523610819682,0.054638923607599546,0.7445330099999999,0.25546699000000006,0.049417001742469865
2008,0.047394529774574624,0.0395343943503535,0.74324375,0.25675625,0.04537639087855945
2010,-0.053141929712903685,0.03596622095121435,0.7146944999999999,0.2853055000000001,-0.027718884233602144
2011,-0.07521132104628613,0.05296901651294106,0.68636889,0.31363111,-0.03500997949741102
2012,-0.05733143126329394,0.05042202888623203,0.67513821,0.32486179000000004,-0.02232644932042526
2013,-0.08258953811438167,0.04843043931529416,0.67010995,0.32989005000000005,-0.03936735120910703
2014,-0.031122154892369164,0.0494524386959639,0.66623343,0.33376657,-0.004229049161247243
2015,0.002924631286949274,0.023996407322046588,0.67500253,0.32499747,0.009772905186762533
2016,-0.05840855046372347,0.03265681309894483,0.68378186,0.31621814000000004,-0.02961203057951272
2017,-0.06506316424005218,0.029650041826186777,0.68567149,0.31432850999999995,-0.03529210329992833
2018,-0.12223444842241166,0.046975111444942534,0.68658697,0.31341303,-0.06920196755941779
2019,-0.04340891352903221,0.06428235537400359,0.68658697,0.31341303,-0.009657066637586986
